sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;Profile 1;Profile 2
0.092;103;;180rounds;Yes;No;2;0.82122;0.85921;0.00000;0.10500;1.68043;ExampleAgent@114;ExampleAgent@115;0.8212180535448242;0.85921285310326;0.8212180535448242;0.85921285310326;0.8212180535448242;0.85921285310326;lab2_laptop_util7.xml;lab2_laptop_util8.xml
0.072;96;;180rounds;Yes;No;2;0.82122;0.85921;0.00000;0.10500;1.68043;ExampleAgent@116;ExampleAgent@117;0.8212180535448242;0.85921285310326;0.8212180535448242;0.85921285310326;0.8212180535448242;0.85921285310326;lab2_laptop_util7.xml;lab2_laptop_util8.xml
0.078;99;;180rounds;Yes;No;2;0.76829;0.81152;0.08963;0.08963;1.57980;ExampleAgent@118;ExampleAgent@119;0.8115157621506408;0.7682877193340536;0.8115157621506408;0.7682877193340536;0.8115157621506408;0.7682877193340536;lab2_laptop_util7.xml;lab2_laptop_util8.xml
0.071;93;;180rounds;Yes;No;2;0.76829;0.81152;0.08963;0.08963;1.57980;ExampleAgent@120;ExampleAgent@121;0.8115157621506408;0.7682877193340536;0.8115157621506408;0.7682877193340536;0.8115157621506408;0.7682877193340536;lab2_laptop_util7.xml;lab2_laptop_util8.xml
0.072;100;;180rounds;Yes;No;2;0.78849;0.89884;0.00000;0.00000;1.68733;ExampleAgent@122;ExampleAgent@123;0.8988363846982912;0.7884933046160995;0.8988363846982912;0.7884933046160995;0.8988363846982912;0.7884933046160995;lab2_laptop_util7.xml;lab2_laptop_util8.xml
0.071;94;;180rounds;Yes;No;2;0.82122;0.85921;0.00000;0.10500;1.68043;ExampleAgent@124;ExampleAgent@125;0.8212180535448242;0.85921285310326;0.8212180535448242;0.85921285310326;0.8212180535448242;0.85921285310326;lab2_laptop_util7.xml;lab2_laptop_util8.xml
0.082;106;;180rounds;Yes;No;2;0.76829;0.81152;0.08963;0.08963;1.57980;ExampleAgent@126;ExampleAgent@127;0.8115157621506408;0.7682877193340536;0.8115157621506408;0.7682877193340536;0.8115157621506408;0.7682877193340536;lab2_laptop_util7.xml;lab2_laptop_util8.xml
0.085;113;;180rounds;Yes;No;2;0.82122;0.85921;0.00000;0.10500;1.68043;ExampleAgent@128;ExampleAgent@129;0.8212180535448242;0.85921285310326;0.8212180535448242;0.85921285310326;0.8212180535448242;0.85921285310326;lab2_laptop_util7.xml;lab2_laptop_util8.xml
0.070;95;;180rounds;Yes;No;2;0.78849;0.89884;0.00000;0.00000;1.68733;ExampleAgent@130;ExampleAgent@131;0.8988363846982912;0.7884933046160995;0.8988363846982912;0.7884933046160995;0.8988363846982912;0.7884933046160995;lab2_laptop_util7.xml;lab2_laptop_util8.xml
0.086;117;;180rounds;Yes;No;2;0.82122;0.85921;0.00000;0.10500;1.68043;ExampleAgent@132;ExampleAgent@133;0.8212180535448242;0.85921285310326;0.8212180535448242;0.85921285310326;0.8212180535448242;0.85921285310326;lab2_laptop_util7.xml;lab2_laptop_util8.xml
