41,2,0.2265193370165746,RandomParty2@9,(Offer  bid:Bid[Brand: HP(0), HardDisk: 256GB(0), Monitor: 15(0)])
42,1,0.23204419889502761,RandomParty@8,(Offer  bid:Bid[Brand: HP(0), HardDisk: 512GB(0), Monitor: 17(0)])
42,2,0.23204419889502761,RandomParty2@9,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 256GB(0), Monitor: 17(0)])
43,1,0.23756906077348067,RandomParty@8,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 1TB(0), Monitor: 17(0)])
43,2,0.23756906077348067,RandomParty2@9,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 15(0)])
44,1,0.2430939226519337,RandomParty@8,(Offer  bid:Bid[Brand: HP(0), HardDisk: 512GB(0), Monitor: 15(0)])
44,2,0.2430939226519337,RandomParty2@9,(Offer  bid:Bid[Brand: HP(0), HardDisk: 256GB(0), Monitor: 17(0)])
45,1,0.24861878453038674,RandomParty@8,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 13(0)])
45,2,0.24861878453038674,RandomParty2@9,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 512GB(0), Monitor: 15(0)])
46,1,0.2541436464088398,RandomParty@8,(Offer  bid:Bid[Brand: HP(0), HardDisk: 1TB(0), Monitor: 17(0)])
46,2,0.2541436464088398,RandomParty2@9,(Offer  bid:Bid[Brand: HP(0), HardDisk: 512GB(0), Monitor: 13(0)])
47,1,0.2596685082872928,RandomParty@8,(Offer  bid:Bid[Brand: HP(0), HardDisk: 1TB(0), Monitor: 13(0)])
47,2,0.2596685082872928,RandomParty2@9,(Offer  bid:Bid[Brand: HP(0), HardDisk: 1TB(0), Monitor: 13(0)])
48,1,0.26519337016574585,RandomParty@8,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 1TB(0), Monitor: 13(0)])
48,2,0.26519337016574585,RandomParty2@9,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 1TB(0), Monitor: 13(0)])
49,1,0.27071823204419887,RandomParty@8,(Offer  bid:Bid[Brand: HP(0), HardDisk: 256GB(0), Monitor: 17(0)])
49,2,0.27071823204419887,RandomParty2@9,(Offer  bid:Bid[Brand: HP(0), HardDisk: 256GB(0), Monitor: 15(0)])
50,1,0.27624309392265195,RandomParty@8,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 512GB(0), Monitor: 13(0)])
50,2,0.27624309392265195,RandomParty2@9,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 1TB(0), Monitor: 13(0)])
51,1,0.281767955801105,RandomParty@8,(Offer  bid:Bid[Brand: HP(0), HardDisk: 1TB(0), Monitor: 13(0)])
51,2,0.281767955801105,RandomParty2@9,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 512GB(0), Monitor: 15(0)])
52,1,0.287292817679558,RandomParty@8,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 256GB(0), Monitor: 15(0)])
52,2,0.287292817679558,RandomParty2@9,(Offer  bid:Bid[Brand: HP(0), HardDisk: 512GB(0), Monitor: 17(0)])
53,1,0.292817679558011,RandomParty@8,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 1TB(0), Monitor: 13(0)])
53,2,0.292817679558011,RandomParty2@9,(Offer  bid:Bid[Brand: HP(0), HardDisk: 512GB(0), Monitor: 13(0)])
54,1,0.2983425414364641,RandomParty@8,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 1TB(0), Monitor: 17(0)])
54,2,0.2983425414364641,RandomParty2@9,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 1TB(0), Monitor: 15(0)])
55,1,0.30386740331491713,RandomParty@8,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 512GB(0), Monitor: 17(0)])
55,2,0.30386740331491713,RandomParty2@9,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 512GB(0), Monitor: 15(0)])
56,1,0.30939226519337015,RandomParty@8,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 13(0)])
56,2,0.30939226519337015,RandomParty2@9,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 15(0)])
57,1,0.3149171270718232,RandomParty@8,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 1TB(0), Monitor: 15(0)])
57,2,0.3149171270718232,RandomParty2@9,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 512GB(0), Monitor: 13(0)])
58,1,0.32044198895027626,RandomParty@8,(Offer  bid:Bid[Brand: HP(0), HardDisk: 1TB(0), Monitor: 17(0)])
58,2,0.32044198895027626,RandomParty2@9,(Offer  bid:Bid[Brand: HP(0), HardDisk: 1TB(0), Monitor: 17(0)])
